Category,Stat Name,Leader Name,Value,Last Updated
Batting,WAR Position Players,Aaron Judge NYY,8.9,2025-01-15
Batting,Offensive WAR,Aaron Judge NYY,8.6,2025-01-15
Batting,Defensive WAR,Ceddanne Rafaela BOS,2.9,2025-01-15
Batting,Batting Average,Aaron Judge NYY,0.326,2025-01-15
Batting,On-Base%,Aaron Judge NYY,0.451,2025-01-15
Batting,Slugging %,Aaron Judge NYY,0.672,2025-01-15
Batting,On-Base Plus Slugging,Aaron Judge NYY,1.123,2025-01-15
Batting,Games Played,Rafael Devers 2TM,157,2025-01-15
Batting,At Bats,Julio Rodríguez SEA,637,2025-01-15
Batting,Plate Appearances,Tied among 2 players,704,2025-01-15
Batting,Runs Scored,Shohei Ohtani LAD,141,2025-01-15
Batting,Hits,Bo Bichette TOR,181,2025-01-15
Batting,Total Bases,Shohei Ohtani LAD,366,2025-01-15
Batting,Doubles,Bo Bichette TOR,44,2025-01-15
Batting,Triples,Corbin Carroll ARI,17,2025-01-15
Batting,Home Runs,Cal Raleigh SEA,58,2025-01-15
Batting,Runs Batted In,Kyle Schwarber PHI,129,2025-01-15
Batting,Bases on Balls,Juan Soto NYM,123,2025-01-15
Batting,Strikeouts,James Wood WSN,215,2025-01-15
Batting,Stolen Bases,José Caballero 2TM,48,2025-01-15
Batting,Singles,Tied among 2 players,132,2025-01-15
Batting,Adjusted OPS+,Aaron Judge NYY,209,2025-01-15
Batting,Runs Created,Aaron Judge NYY,161,2025-01-15
Batting,Adj. Batting Runs,Aaron Judge NYY,84,2025-01-15
Batting,Adj. Batting Wins,Aaron Judge NYY,8.2,2025-01-15
Batting,Extra Base Hits,Shohei Ohtani LAD,85,2025-01-15
Batting,Times On Base,Aaron Judge NYY,294,2025-01-15
Batting,Offensive Win %,Aaron Judge NYY,0.847,2025-01-15
Batting,Hit By Pitch,Randy Arozarena SEA,27,2025-01-15
Batting,Sacrifice Hits,Kyle Isbel KCR,13,2025-01-15
Batting,Sacrifice Flies,Tied among 3 players,11,2025-01-15
Batting,Intentional Bases on Balls,Aaron Judge NYY,32,2025-01-15
Batting,Double Plays Grounded Into,Junior Caminero TBR,31,2025-01-15
Batting,Caught Stealing,Chandler Simpson TBR,12,2025-01-15
Batting,SB %,Tied among 2 players,100.00,2025-01-15
Batting,Power-Speed #,Juan Soto NYM,38.2,2025-01-15
Batting,AB per SO,Luis Arráez SDP,28.6,2025-01-15
Batting,AB per HR,Cal Raleigh SEA,9.9,2025-01-15
Batting,Outs Made,Julio Rodríguez SEA,489,2025-01-15
Batting,Base-Out Runs Added (RE24),Aaron Judge NYY,63.60,2025-01-15
Batting,Win Probability Added (WPA),Shohei Ohtani LAD,6.0,2025-01-15
Batting,Situ. Wins Added (WPA/LI),Aaron Judge NYY,7.1,2025-01-15
Batting,Championship WPA (cWPA),Shohei Ohtani LAD,4.4,2025-01-15
Batting,Base-Out Wins Added (REW),Aaron Judge NYY,6.2,2025-01-15
Batting,rOBA,Aaron Judge NYY,0.454,2025-01-15
Batting,Rbat+,Aaron Judge NYY,206,2025-01-15
Pitching,WAR for Pitchers,Paul Skenes PIT,7.3,2025-01-15
Pitching,Earned Run Average,Paul Skenes PIT,2.03,2025-01-15
Pitching,Wins,Max Fried NYY,18,2025-01-15
Pitching,Win-Loss %,Max Fried NYY,0.783,2025-01-15
Pitching,Walks & Hits per IP,Tarik Skubal DET,0.882,2025-01-15
