Date,Time,Fighter 1 Last Name,Fighter 2 Last Name,Channel
12/11/2025,6:30:00 PM,Gaumont,Hiseni,Punchinggrace.com
12/11/2025,6:30:00 PM,Khataev,Deines,Punchinggrace.com
12/11/2025,6:30:00 PM,Duval,Chereji,Punchinggrace.com
12/11/2025,6:30:00 PM,Lepage-Joanisse,Dreiling,Punchinggrace.com
12/11/2025,6:30:00 PM,Klym,Parker,Punchinggrace.com
12/11/2025,6:30:00 PM,Maanni,Tokarchuk,Punchinggrace.com
12/11/2025,6:30:00 PM,Tremblay,Haverchuck,Punchinggrace.com
12/12/2025,8:00:00 AM,Pulev,Gassiev,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Usmonov,Hughes,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Musaev,Mbenge,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Agrba,Munoz,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Anwar,Baysangurov,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Penalosa,Alaev,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Finol,Zoirov,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Wright,Suslenkov,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Carmona,Josef,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Mossely,Simwaka,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Walsh,Sserwadda,IBA Boxing YouTube page
12/12/2025,8:00:00 AM,Dzukaev,Madiyar,IBA Boxing YouTube page
12/12/2025,7:00:00 PM,Miloc,Garcia,ESPN Deportes
12/13/2025,8:00:00 PM,Pacheco,Sadjo,DAZN
12/13/2025,8:00:00 PM,Flores,Cordina,DAZN
12/13/2025,8:00:00 PM,Nicolson,Avila,DAZN
12/13/2025,8:00:00 PM,Mercado,Moran,DAZN
12/13/2025,8:00:00 PM,Popoca,Vaca,DAZN
12/13/2025,8:00:00 PM,Clarke,Hollaway,DAZN
12/13/2025,8:00:00 PM,Sam,Guerrero,DAZN
12/13/2025,8:00:00 PM,Olvera,Saravia,DAZN
12/13/2025,9:00:00 PM,Jack,Mikaelyan,Pay-Per-View
12/13/2025,9:00:00 PM,Sibrian,Munguilla,Pay-Per-View
12/13/2025,9:00:00 PM,Lozano,Hernandez,Pay-Per-View
12/13/2025,9:00:00 PM,Gandilyan,TBA,Pay-Per-View
12/13/2025,9:00:00 PM,Davtian,Avalos,Pay-Per-View
12/13/2025,9:00:00 PM,Anguiano,Bahena,Pay-Per-View
12/13/2025,9:00:00 PM,Ballo,TBA,Pay-Per-View
12/13/2025,9:00:00 PM,Saldana,Yanez,Pay-Per-View
12/13/2025,9:00:00 PM,Jordan,Sumrall,Pay-Per-View
12/13/2025,9:00:00 PM,Alba,Franklin,Pay-Per-View
12/13/2025,9:00:00 PM,Boler,Gomez,Pay-Per-View
12/13/2025,9:00:00 PM,Hamm,Daniels,Pay-Per-View
12/13/2025,5:30:00 PM,Brown,Seldin,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Perez,Pruitt,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Artiga,Silva,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Tellez,Castaneda,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Vallecillo,Rodriguez,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Jiang,Anau,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Cowart,Phillips,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Shirley,Mastrapa,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Vanhouter,Tamez,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Aguilar,Villegas,Boxlab Promotions YouTube page
12/13/2025,5:30:00 PM,Alcantara,Carter,Boxlab Promotions YouTube page
12/13/2025,9:30:00 PM,Reyes,Ngxeke,ESPN+
12/17/2025,2:00:00 PM,Visioli,Howarth,DAZN
12/17/2025,2:00:00 PM,Hedges,Zorro,DAZN
12/17/2025,12:00:00 AM,Takami,Santiago,
12/17/2025,12:00:00 AM,Donaire,Tsutsumi,
12/17/2025,12:00:00 AM,Olascuaga,Kuwahara,
12/17/2025,12:00:00 AM,Akui,TBA,
12/17/2025,12:00:00 AM,Nishimoto,Ezaki,
12/17/2025,12:00:00 AM,Tszyu,Velazquez,
12/17/2025,12:00:00 AM,Goodman,Blizzard,
12/17/2025,12:00:00 AM,Peters,Beekin,
12/17/2025,12:00:00 AM,Mazoudier,Molinaro,
12/17/2025,12:00:00 AM,Reda,Paliwen,
12/17/2025,12:00:00 AM,Kazzi,Geraghty,
12/17/2025,12:00:00 AM,Aokuso,Abdullaev,
12/17/2025,12:00:00 AM,Wells,Smith,
12/17/2025,12:00:00 AM,Trewhella,Sparks,
12/19/2025,7:00:00 PM,Cardenas,Ayala,ProBox TV
12/19/2025,7:00:00 PM,Conceicao,Espadas,ProBox TV
12/19/2025,7:00:00 PM,Williams,Valtierra,ProBox TV
12/19/2025,7:00:00 PM,Martinez,James,ProBox TV
12/19/2025,7:00:00 PM,Valle,TBA,ProBox TV
12/19/2025,8:00:00 PM,Paul,Joshua,Netflix
12/19/2025,8:00:00 PM,Baumgardner,Beaudoin,Netflix
12/19/2025,8:00:00 PM,Silva,Woodley,Netflix
