Date,Time,Away Team,Home Team,Channel
10/21/2025,7:00 PM,Kennesaw State,FIU,ESPNU
10/21/2025,7:30 PM,Western Kentucky,Louisiana Tech,CBSSN
10/22/2025,7:30 PM,Middle Tennessee,Delaware,ESPN2
10/22/2025,9:00 PM,Missouri State,New Mexico State,CBSSN
10/23/2025,7:30 PM,South Alabama,Georgia State,ESPN2
10/24/2025,6:00 PM,Columbia,Dartmouth,ESPNU
10/24/2025,7:00 PM,North Texas,Charlotte,ESPN2
10/24/2025,7:30 PM,California,Virginia Tech,ESPN
10/24/2025,10:00 PM,Boise State,Nevada,CBSSN
10/24/2025,10:30 PM,Montana,Sacramento State,ESPN2
10/25/2025,12:00 PM,Appalachian State,Old Dominion,ESPNU
10/25/2025,12:00 PM,Bowling Green,Kent State,ESPN+
10/25/2025,12:00 PM,Kansas State,Kansas,TNT
10/25/2025,12:00 PM,Northwestern,Nebraska,FS1
10/25/2025,12:00 PM,Ohio,Eastern Michigan,CBSSN
10/25/2025,12:00 PM,Ole Miss,Oklahoma,ABC
10/25/2025,12:00 PM,Rutgers,Purdue,BTN
10/25/2025,12:00 PM,SMU,Wake Forest,CW
10/25/2025,12:00 PM,South Florida,Memphis,ESPN2
10/25/2025,12:00 PM,Syracuse,Georgia Tech,ESPN
10/25/2025,12:00 PM,UCLA,Indiana,FOX
10/25/2025,12:00 PM,Virginia,North Carolina,ACC Network
10/25/2025,12:00 PM,Penn,Yale,ESPN+
10/25/2025,12:00 PM,Pennsylvania,Yale,ESPN+
10/25/2025,12:00 PM,Duquesne,Wagner,ESPN+
10/25/2025,12:00 PM,Harvard,Princeton,ESPN+
10/25/2025,12:00 PM,Drake,Marist,ESPN+
10/25/2025,12:00 PM,San Diego,Davidson,ESPN+
10/25/2025,12:00 PM,Georgetown,Bucknell,ESPN+
10/25/2025,TBD,Harvard,Princeton,ESPN+
10/25/2025,12:45 PM,Auburn,Arkansas,SEC Network
10/25/2025,1:00 PM,Akron,Buffalo,ESPN+
10/25/2025,1:00 PM,Delaware State,North Carolina Central,ESPN+
10/25/2025,1:00 PM,Lehigh,Fordham,ESPN+
10/25/2025,1:00 PM,Morehead State,Valparaiso,ESPN+
10/25/2025,1:00 PM,Southeast Missouri State,Tennessee Tech,ESPN+
10/25/2025,1:00 PM,St. Thomas (MN),Stetson,ESPN+
