Date,Time,Away Team,Home Team,Channel
11/3/2025,08:00,Queens,Winthrop,YouTube
11/3/2025,11:00,Bradley,St. Bonaventure,YouTube
11/3/2025,11:30,Arlington Baptist,East Texas A&M,ESPN+
11/3/2025,12:00,Binghamton,Syracuse,ACCNX
11/3/2025,12:00,Texas A&M-San Antonio,Lamar,ESPN+
11/3/2025,13:30,Murray State,Omaha,YouTube
11/3/2025,15:00,Millsaps,Stephen F. Austin,ESPN+
11/3/2025,16:00,Drake,Northern Arizona,YouTube
11/3/2025,17:00,Thomas-ME,Stonehill,NEC Front Row
11/3/2025,18:00,Widener,Drexel,TBD
11/3/2025,18:30,Maryland,Coppin State,BTN
11/3/2025,18:30,High Point,Furman,YouTube
11/3/2025,18:30,Quinnipiac,St. John's,FS1
11/3/2025,18:30,IU Indianapolis,Ohio State,B1G+
11/3/2025,18:30,High Point,Furman,ESPN+
11/3/2025,18:30,Morgan State,Georgetown,ESPN+
11/3/2025,18:30,Southern Miss,Buffalo,ESPN+
11/3/2025,18:30,Georgia State,Eastern Michigan,ESPN+
11/3/2025,18:31,Farmingdale State,Stony Brook,TBD
11/3/2025,19:00,Arizona,Florida,TNT
11/3/2025,19:00,New Hampshire,Clemson,ACCNX
11/3/2025,19:00,NC Central,NC State,ACCNX
11/3/2025,19:00,Binghamton,Syracuse,ACCNX
11/3/2025,19:00,Rider,Virginia,ACCNX
11/3/2025,19:00,Long Island,Notre Dame,ACCNX
11/3/2025,19:00,Charleston Southern,Virginia Tech,ACCNX
11/3/2025,19:00,Colgate,Michigan State,B1G+
11/3/2025,19:00,Fairfield,Penn State,B1G+
11/3/2025,19:00,Paine College,Kennesaw State,ESPN+
11/3/2025,19:00,Vermont State Johnson,Central Connecticut,NEC Front Row
11/3/2025,19:00,SUNY Cobleskill,Le Moyne,NEC Front Row
11/3/2025,19:00,Delaware,Bucknell,ESPN+
11/3/2025,19:00,New College-FL,Florida Gulf Coast,ESPN+
11/3/2025,19:00,Southern,Arkansas,SEC Network
11/3/2025,19:00,Erskine,The Citadel,ESPN+
11/3/2025,19:00,Union (KY),Chattanooga,ESPN+
11/3/2025,19:00,North Carolina Central,NC State,ACCNX
11/3/2025,19:00,Long Island University,Notre Dame,ACCNX
11/3/2025,19:00,Youngstown State,Pittsburgh,ACCNX
11/3/2025,19:00,Central Arkansas,North Carolina,ACC Network
11/3/2025,19:00,DeSales,Davidson,ESPN+
