Date,Time,Away Team,Home Team,Channel
11/3/2025,08:00,Queens,Winthrop,YouTube
11/3/2025,11:00,Bradley,St. Bonaventure,YouTube
11/3/2025,11:30,Arlington Baptist,East Texas A&M,12:00 pm
11/3/2025,12:00,Texas A&M-San Antonio,Lamar,1:30 pm
11/3/2025,15:00,Millsaps,Stephen F. Austin,4:00 pm
11/3/2025,17:00,Thomas-ME,Stonehill,NEC Front Row
11/3/2025,18:00,Johnson and Wales,VMI,6:00 pm
11/3/2025,18:30,Maryland,Coppin State,6:30 pm
11/3/2025,18:30,Quinnipiac,St. John's,6:30 pm
11/3/2025,18:30,High Point,Furman,6:30 pm
11/3/2025,18:30,Southern Miss,Buffalo,6:30 pm
11/3/2025,18:31,Farmingdale State,Stony Brook,FloHoops
11/3/2025,19:00,13,Arizona,vs
11/3/2025,19:00,New Hampshire,Clemson,7:00 pm
11/3/2025,19:00,Binghamton,Syracuse,7:00 pm
11/3/2025,19:00,Long Island,Notre Dame,7:00 pm
11/3/2025,19:00,Colgate,Michigan State,B1G+
11/3/2025,19:00,Fairfield,Penn State,B1G+
11/3/2025,19:00,Florida National,FIU,7:00 pm
11/3/2025,19:00,Vermont State Johnson,Central Connecticut,NEC Front Row
11/3/2025,19:00,SUNY Cobleskill,Le Moyne,NEC Front Row
11/3/2025,19:00,Delaware,Bucknell,7:00 pm
11/3/2025,19:00,Southern,Arkansas,7:00 pm
11/3/2025,19:00,Union (KY),Chattanooga,7:00 pm
11/3/2025,19:00,Long Island University,Notre Dame,7:00 pm
11/3/2025,19:00,Central Arkansas,North Carolina,7:00 pm
11/3/2025,19:00,Canisius,Dayton,7:00 pm
11/3/2025,19:00,Western Carolina,Cincinnati,7:00 pm
11/3/2025,19:00,Florida National,Florida International,7:00 pm
11/3/2025,19:00,Paine,Kennesaw State,7:00 pm
11/3/2025,19:00,UC Clermont,Northern Kentucky,7:00 pm
11/3/2025,19:00,Louisiana,Ball State,7:00 pm
11/3/2025,19:00,South Alabama,Toledo,7:00 pm
11/3/2025,19:00,Union College (KY),Chattanooga,7:00 pm
11/3/2025,19:00,Mercer,Tennessee,7:00 pm
11/3/2025,19:00,Western New England,Vermont,7:00 pm
11/3/2025,19:00,Bryant,Siena,7:00 pm
11/3/2025,19:00,Stetson,Rhode Island,7:00 pm
11/3/2025,19:00,Wagner,VCU,7:00 pm
11/3/2025,19:00,Navy,Presbyterian,7:00 pm
