Date,Time,Away Team,Home Team,Channel
11/4/2025,TBD,Mount St. Mary's,West Virginia,ESPN+
11/4/2025,TBD,Lindenwood,Texas Tech,ESPN+
11/4/2025,TBD,Alcorn State,Florida State,ACCNX
11/4/2025,TBD,Long Beach State,San Diego State,MW Network
11/4/2025,17:30,Louisville,UConn,ESPN
11/4/2025,18:00,Penn State York,UMBC,ESPN+
11/4/2025,18:30,Evansville,Purdue,BTN
11/4/2025,19:00,Alcorn State,Florida State,ACCNX
11/4/2025,19:00,Georgia Southern,East Carolina,ESPN+
11/4/2025,19:00,NJIT,Fordham,ESPN+
11/4/2025,19:00,St. Mary's,West Virginia,ESPN+
11/4/2025,19:00,East West University,SIU Edwardsville,ESPN+
11/4/2025,19:00,Nicholls,Kentucky,SECN+
11/4/2025,19:00,North Carolina A&T,South Carolina,SECN+
11/4/2025,19:00,St. Joseph's Brooklyn,Manhattan,ESPN+
11/4/2025,19:00,Merchant Marine Academy,Sacred Heart,ESPN+
11/4/2025,19:00,Converse,East Tennessee State,ESPN+
11/4/2025,19:00,Caldwell,Monmouth,TBD
11/4/2025,19:30,UNC Asheville,Wichita State,ESPN+
11/4/2025,20:00,Oral Roberts,Oklahoma State,ESPN+
11/4/2025,20:00,College of Biblical Studies,Rice,ESPN+
11/4/2025,20:00,UNC Greensboro,Kansas State,ESPN+
11/4/2025,20:00,Lindenwood,Texas Tech,ESPN+
11/4/2025,20:00,Missouri Southern,Missouri State,ESPN+
11/4/2025,20:00,Arkansas Baptist,Little Rock,ESPN+
11/4/2025,20:00,West Coast Baptist,Utah Valley,ESPN+
11/4/2025,20:30,Robert Morris,Iowa,BTN
11/4/2025,20:45,Texas,Duke,ESPN
11/4/2025,20:45,Texas,Duke,ESPN
11/4/2025,21:00,Southern Utah,Arizona State,ESPN+
11/4/2025,21:00,San Francisco State,UC Santa Barbara,ESPN+
11/4/2025,21:00,Adams State,New Mexico State,ESPN+
11/4/2025,22:00,Portland State,Stanford,ACCNX
11/4/2025,22:00,UT Martin,UNLV,MW Network
11/4/2025,22:00,Louisiana Tech,Nevada,MW Network
11/4/2025,22:00,Occidental College,San Diego,ESPN+
11/4/2025,22:00,Occidental,San Diego,ESPN+
11/4/2025,22:00,Cal Poly Humboldt,Santa Clara,ESPN+
11/4/2025,22:00,Park University,Idaho State,ESPN+
11/4/2025,22:00,Dominican,Sacramento State,ESPN+
11/4/2025,22:30,Hawaii,Oregon,BTN
11/5/2025,11:30,Milligan,Middle Tennessee,ESPN+
11/5/2025,TBD,East Texas A&M,New Mexico,MW Network
11/5/2025,18:00,Rider,Rutgers,BTN
11/5/2025,18:00,Bluefield University,Presbyterian,ESPN+
11/5/2025,18:30,Coppin State,La Salle,ESPN+
11/5/2025,18:30,Carolina University,Appalachian State,ESPN+
11/5/2025,19:00,Southern Indiana,Butler,ESPN+
11/5/2025,19:00,Dickinson,Lafayette,ESPN+
11/5/2025,19:00,Delaware State,Temple,ESPN+
11/5/2025,19:00,College of Biblical Studies,UTSA,ESPN+
11/5/2025,19:00,Lynchburg,Queens (NC),ESPN+
11/5/2025,19:00,Southern Virginia,Richmond,ESPN+
11/5/2025,19:00,Dickinson College,Lafayette,ESPN+
11/5/2025,19:00,Maryland-Eastern Shore,Georgia,SECN+
11/5/2025,19:00,Plattsburgh State,Vermont,ESPN+
11/5/2025,19:00,Lynchburg,Queens,ESPN+
11/5/2025,19:00,LaGrange,Mercer,ESPN+
11/5/2025,19:00,Washington & Lee,James Madison,ESPN+
11/5/2025,19:00,Belmont Abbey,Elon,TBD
11/5/2025,20:00,Southern,Marquette,ESPN+
11/5/2025,20:00,South Dakota,Creighton,Peacock
11/5/2025,20:00,Alabama A&M,Indiana,BTN
11/5/2025,20:00,Texas A&M-San Antonio,Texas State,ESPN+
11/5/2025,21:00,USC Upstate,Fresno State,MW Network
11/5/2025,21:00,Ottawa University,Montana,ESPN+
11/5/2025,21:00,North Alabama,Mississippi State,SEC Network
11/5/2025,21:00,Bethesda,Utah Tech,ESPN+
11/5/2025,21:00,Northwest Indian,Montana State,ESPN+
11/5/2025,21:00,North Dakota State,UC Davis,ESPN+
11/5/2025,22:00,Life Pacific,Pacific,ESPN+
11/5/2025,22:00,Pacific Lutheran (WA),Cal Poly,ESPN+
11/5/2025,22:00,Bethesda,UC Irvine,ESPN+
11/5/2025,22:30,Eastern Washington University,Loyola Marymount,ESPN+
11/5/2025,22:30,Eastern Washington,Loyola Marymount,ESPN+
11/6/2025,11:30,PSU Abington,Loyola Maryland,ESPN+
11/6/2025,11:30,Penn State Abington,Loyola Maryland,ESPN+
11/6/2025,TBD,Campbell,West Virginia,ESPN+
11/6/2025,TBD,Grambling State,Iowa State,ESPN+
11/6/2025,TBD,Wright State,California,ACCNX
