Date,Time,Away Team,Home Team,Channel
11/16/2025,1:00 AM,Utah Tech,Hawai'i,ESPN+
11/16/2025,1:00 PM,Kent State,Wright State,PassThaBall Live
11/16/2025,1:00 PM,Wagner,UMBC,ESPN+
11/16/2025,1:00 PM,Appalachian State,Dartmouth,ESPN+
11/16/2025,1:30 PM,Notre Dame,Ohio State,FS1
11/16/2025,1:30 PM,Kentucky Christian,Morehead State,ESPN+
11/16/2025,2:00 PM,Bryant,Valparaiso,ESPN+
11/16/2025,2:00 PM,Stetson,Western Carolina,ESPN+
11/16/2025,2:00 PM,Hampton,Holy Cross,ESPN+
11/16/2025,2:00 PM,Cumberlands,Northern Kentucky,ESPN+
11/16/2025,3:00 PM,Texas A&M-CC,Oklahoma State,ESPN+
11/16/2025,3:00 PM,South Florida,Kennesaw State,ESPN+
11/16/2025,3:00 PM,Charlotte,Virginia Tech,ACCNX
11/16/2025,3:00 PM,UMass Lowell,Wake Forest,ACCNX
11/16/2025,3:00 PM,Loyola Maryland,Fairfield,ESPN+
11/16/2025,3:00 PM,Central Connecticut,UMass,ESPN+
11/16/2025,3:00 PM,Quinnipiac,Maine,ESPN+
11/16/2025,3:00 PM,Samford,Central Arkansas,ESPN+
11/16/2025,3:00 PM,Western Michigan,South Dakota,Midco Sports Plus
11/16/2025,3:30 PM,Cleveland State,Radford,PassThaBall Live
11/16/2025,4:00 PM,Houston,Auburn,ESPN
11/16/2025,4:00 PM,Tennessee State,Western Kentucky,ESPN+
11/16/2025,5:00 PM,Presbyterian,Sacramento State,ESPN+
11/16/2025,5:00 PM,Lindenwood,Alabama A&M,SWAC TV
11/16/2025,5:00 PM,Loras College,Southern Indiana,ESPN+
11/16/2025,5:00 PM,Manhattanville,Fordham,ESPN+
11/16/2025,6:00 PM,UNLV,Memphis,ESPN
11/16/2025,6:00 PM,Harvard,Marist,ESPN+
11/16/2025,6:00 PM,Colorado State,Loyola Chicago,ESPN+
11/16/2025,6:30 PM,Incarnate Word,Indiana,BTN
11/16/2025,7:00 PM,Mount St. Mary's,Cincinnati,ESPN+
11/16/2025,8:00 PM,Illinois State,Long Beach State,ESPN+
11/16/2025,8:30 PM,Akron,Purdue,BTN
11/16/2025,9:00 PM,Troy,Cal State Northridge,ESPN+
11/16/2025,9:30 PM,Miami,Florida,ESPN
11/17/2025,7:30 PM,Florida A&M,Georgia,SEC Network
11/17/2025,8:00 PM,Niagara,Le Moyne,NEC Front Row
11/17/2025,8:00 PM,Bucknell,Pittsburgh,ACCNX
11/17/2025,8:00 PM,North Alabama,Clemson,ACC Network
11/17/2025,8:00 PM,Oakland,UCF,ESPN+
11/17/2025,8:00 PM,Lafayette,West Virginia,ESPN+
11/17/2025,8:00 PM,Canisius,High Point,ESPN+
11/17/2025,8:00 PM,Carolina University,Liberty,ESPN+
11/17/2025,8:00 PM,West Georgia,Tennessee Tech,ESPN+
11/17/2025,8:00 PM,Saint Joseph's,Pennsylvania,ESPN+
11/17/2025,8:00 PM,Coastal Georgia,Florida Atlantic,ESPN+
11/17/2025,8:00 PM,Drake,Charleston,FloHoops
11/17/2025,8:30 PM,Rhodes,UAB,ESPN+
11/17/2025,8:30 PM,Southwestern Adventist,UT Rio Grande Valley,ESPN+
11/17/2025,8:30 PM,Lamar,UL Monroe,ESPN+
11/17/2025,9:00 PM,SIU-Edwardsville,Wisconsin,BTN
11/17/2025,9:00 PM,Stonehill,Iowa State,ESPN+
11/17/2025,9:00 PM,Tulsa,Kansas State,ESPN+
11/17/2025,9:00 PM,Prairie View A&M,Missouri,SECN+
11/17/2025,9:00 PM,Angelo State,Tarleton,ESPN+
11/17/2025,9:30 PM,Coe,Western Illinois,ESPN+
11/17/2025,10:00 PM,Rice,Tennessee,SEC Network
11/17/2025,10:00 PM,Alabama State,Colorado,ESPN+
11/17/2025,10:00 PM,Georgia State,Arizona State,ESPN+
11/17/2025,10:00 PM,Southern Utah,Gonzaga,ESPN+
11/17/2025,10:00 PM,VCU,NC State,ACC Network
11/17/2025,10:00 PM,Loyola Marymount,UC Santa Barbara,ESPN+
11/17/2025,11:00 PM,Oregon State,Oregon,FS1
11/17/2025,11:00 PM,Bethesda,San Jose State,MW Network
11/17/2025,11:00 PM,Eastern Oregon,Eastern Washington,ESPN+
11/17/2025,12:00 AM,Cal State Bakersfield,Portland State,ESPN+
11/18/2025,12:00 PM,Central Penn,Coppin State,ESPN+
11/18/2025,1:00 PM,Southwestern Christian,UTSA,ESPN+
11/18/2025,7:30 PM,Michigan State,Kentucky,ESPN
11/18/2025,7:30 PM,American,Rutgers,BTN
11/18/2025,7:30 PM,Vermont,Buffalo,ESPN+
11/18/2025,8:00 PM,Hampton,Boston College,ACCNX
11/18/2025,8:00 PM,Old Dominion,Xavier,ESPN+
11/18/2025,8:00 PM,New Haven,Seton Hall,ESPN+
11/18/2025,8:00 PM,Saint Peter's,Delaware,ESPN+
11/18/2025,8:00 PM,Ft. Lauderdale,FIU,ESPN+
11/18/2025,8:00 PM,Fairfield,Central Connecticut,NEC Front Row
11/18/2025,8:00 PM,Saint Francis-IN,Lehigh,ESPN+
11/18/2025,8:00 PM,Saint Elizabeth,Fairleigh Dickinson,NEC Front Row
11/18/2025,8:00 PM,UT Martin,Florida State,ACCNX
11/18/2025,8:00 PM,Navy,North Carolina,ACC Network
11/18/2025,8:00 PM,New Hampshire,Providence,ESPN+
11/18/2025,8:00 PM,Maryland-Eastern Shore,Longwood,ESPN+
11/18/2025,8:00 PM,Fort Lauderdale,Florida International,ESPN+
11/18/2025,8:00 PM,Eastern Kentucky,Kent State,ESPN+
11/18/2025,8:00 PM,Radford,South Carolina,SECN+
11/18/2025,8:00 PM,Jacksonville,George Mason,ESPN+
11/18/2025,8:00 PM,IU Indianapolis,Charleston Southern,ESPN+
11/18/2025,8:00 PM,Eastern Michigan,Detroit Mercy,ESPN+
11/18/2025,8:00 PM,Holy Cross,Brown,ESPN+
11/18/2025,8:00 PM,Boston University,Columbia,ESPN+
11/18/2025,8:00 PM,NJIT,Drexel,FloHoops
11/18/2025,8:00 PM,East Carolina,UNC Wilmington,FloHoops
11/18/2025,8:30 PM,Georgia Southern,Georgia Tech,ACCNX
11/18/2025,8:30 PM,Bethel-TN,Western Kentucky,ESPN+
11/18/2025,9:00 PM,Arkansas Pine Bluff,SMU,ACCNX
11/18/2025,9:00 PM,Chicago State,Minnesota,B1G+
11/18/2025,9:00 PM,Rhode Island,Yale,ESPN+
