Date,Time,Away Team,Home Team,Channel
11/3/2025,11:00,NC Central,North Carolina,ACCNX
11/3/2025,11:00,South Carolina Upstate,Clemson,ACCNX
11/3/2025,11:00,Wright State,Butler,ESPN+
11/3/2025,11:00,Winthrop,Marquette,ESPN+
11/3/2025,11:00,Cleary University,Oakland,ESPN+
11/3/2025,11:00,Mercy,Iona,ESPN+
11/3/2025,11:00,Thiel,Youngstown State,ESPN+
11/3/2025,11:30,Tennessee State,Middle Tennessee,ESPN+
11/3/2025,12:00,Baylor,Duke,ESPN
11/3/2025,12:00,St. Thomas,Iowa State,ESPN+
11/3/2025,12:00,Winthrop,Marquette,ESPN+
11/3/2025,12:00,King University,Chattanooga,ESPN+
11/3/2025,12:00,St. Thomas-MN,Iowa State,ESPN+
11/3/2025,12:00,Arkansas-Pine Bluff,Memphis,ESPN+
11/3/2025,12:00,Friends University,Oral Roberts,Midco Sports Plus
11/3/2025,12:00,Norfolk State,Ole Miss,SEC Network
11/3/2025,12:00,Pensacola Christian,McNeese,ESPN+
11/3/2025,12:00,Centenary,SE Louisiana,ESPN+
11/3/2025,12:00,Nelson University,Stephen F. Austin,ESPN+
11/3/2025,12:00,Montevallo,Samford,ESPN+
11/3/2025,12:30,LaGrange,Jacksonville State,ESPN+
11/3/2025,13:00,Northwestern State,Nebraska,B1G+
11/3/2025,13:00,Sioux Falls (S.D.),Utah,ESPN+
11/3/2025,13:00,Drake,Eastern Illinois,ESPN+
11/3/2025,13:00,Sioux Falls,Utah,ESPN+
11/3/2025,13:00,Westcliff,Utah Tech,ESPN+
11/3/2025,14:00,Prairie View A&M,UTEP,ESPN+
11/3/2025,14:00,Eastern Oregon,Boise State,MW Network
11/3/2025,14:00,Le Moyne,St. John's,ESPN+
11/3/2025,14:00,Idaho,Washington State,ESPN+
11/3/2025,14:00,Saint Francis (PA),Duquesne,ESPN+
11/3/2025,14:30,California,Vanderbilt,ESPNU
11/3/2025,15:30,UNT Dallas,East Texas A&M,ESPN+
11/3/2025,16:00,Saint Anselm,UMass Lowell,ESPN+
11/3/2025,16:00,Covenant College,Charleston,TBD
11/3/2025,16:00,LIU Brooklyn,Northeastern,TBD
11/3/2025,16:30,Warren Wilson,Presbyterian,ESPN+
11/3/2025,17:00,Stetson,Alabama,SECN+
11/3/2025,17:00,Alabama State,Georgia,SECN+
11/3/2025,17:00,Bucknell,Penn State,B1G+
11/3/2025,17:00,Hofstra,Miami,ACCNX
11/3/2025,17:00,Radford,Wake Forest,ACCNX
11/3/2025,17:00,Campbell,Tulane,ESPN+
11/3/2025,17:00,SUNY Geneseo,Binghamton,ESPN+
11/3/2025,17:00,Pace University,Army,ESPN+
11/3/2025,17:00,University of the District of Columbia,George Washington,ESPN+
11/3/2025,17:00,Southwestern Christian,Sam Houston,ESPN+
11/3/2025,17:30,Auburn,Charlotte,ESPN+
11/3/2025,17:30,Belmont,Oklahoma,SECN+
11/3/2025,18:00,York-NE,South Dakota,Midco Sports Plus
11/3/2025,18:00,Holy Cross,Boston College,ACCNX
11/3/2025,18:00,Florida A&M,Florida State,ACCNX
11/3/2025,18:00,Central Connecticut,Bryant,ESPN+
11/3/2025,18:00,Miami-OH,Coastal Carolina,ESPN+
11/3/2025,18:00,UNC Wilmington,East Carolina,ESPN+
11/3/2025,18:00,College of Biblical Studies,Texas A&M-Corpus Christi,ESPN+
11/3/2025,18:00,Worcester State,New Hampshire,ESPN+
11/3/2025,18:00,Sewanee,Austin Peay,ESPN+
11/3/2025,18:00,Quinnipiac,Boston University,ESPN+
11/3/2025,18:00,Adelphi,Fordham,ESPN+
11/3/2025,18:00,Mansfield,St. Bonaventure,ESPN+
11/3/2025,18:00,Central Michigan,Georgia Southern,ESPN+
11/3/2025,18:00,Buffalo,Marshall,ESPN+
11/3/2025,18:00,Kent State,James Madison,ESPN+
11/3/2025,18:30,Indiana State,IU Indianapolis,ESPN+
11/3/2025,18:30,Morehead State,Kentucky,SECN+
11/3/2025,18:30,Western Michigan,Appalachian State,ESPN+
11/3/2025,18:30,Oglethorpe,Georgia State,ESPN+
11/3/2025,18:30,Indiana State,IUPUI,ESPN+
11/3/2025,18:30,Charleston Southern,Jacksonville,ESPN+
11/3/2025,18:30,Stevenson,UMBC,ESPN+
11/3/2025,18:30,Spalding,Bellarmine,ESPN+
11/3/2025,18:30,Howard Payne,Abilene Christian,ESPN+
11/3/2025,18:30,Mercer,UNC Asheville,ESPN+
11/3/2025,18:30,Oklahoma Christian,North Texas,ESPN+
11/3/2025,18:30,UMass,Old Dominion,ESPN+
11/3/2025,19:00,Mississippi University for Women,Jackson State,TBD
11/3/2025,19:00,Wagner,Rutgers,B1G+
11/3/2025,19:00,Fairleigh Dickinson,Purdue,B1G+
11/3/2025,19:00,Loyola Maryland,Maryland,B1G+
11/3/2025,19:00,Lafayette,Villanova,ESPN+
11/3/2025,19:00,Chestnut Hill College,Monmouth,TBD
11/3/2025,19:00,South Dakota State,Creighton,ESPN+
11/3/2025,19:00,Transylvania,Eastern Kentucky,ESPN+
11/3/2025,19:00,North Greenville,Furman,ESPN+
11/3/2025,19:00,UW-Stevens Point,Green Bay,ESPN+
11/3/2025,19:00,Gardner-Webb,Queens (NC),ESPN+
11/3/2025,19:00,George Mason,Temple,ESPN+
11/3/2025,19:00,North Carolina A&T,Texas Tech,ESPN+
11/3/2025,19:00,Purdue Fort Wayne,West Virginia,ESPN+
11/3/2025,19:00,North Florida,Florida,SECN+
11/3/2025,19:00,Grand Canyon,South Carolina,SECN+
11/3/2025,19:00,Cumberland,Tennessee Tech,ESPN+
11/3/2025,19:00,Franklin College,Southern Indiana,ESPN+
11/3/2025,19:00,UT Martin,North Alabama,ESPN+
11/3/2025,19:00,Gardner-Webb,Queens,ESPN+
11/3/2025,19:00,Rhode Island,Manhattan,ESPN+
11/3/2025,19:00,NJIT,Sacred Heart,ESPN+
11/3/2025,19:00,Johnson C. Smith,High Point,ESPN+
11/3/2025,19:00,Bloomsburg,Delaware,ESPN+
11/3/2025,19:00,Elon,East Tennessee State,ESPN+
11/3/2025,19:00,Converse,Wofford,ESPN+
11/3/2025,19:00,Loyola Chicago,Milwaukee,ESPN+
11/3/2025,19:00,Chicago State,Cleveland State,ESPN+
11/3/2025,19:00,North Dakota State,Northern Iowa,ESPN+
11/3/2025,19:00,Lincoln (MO),Wichita State,ESPN+
11/3/2025,19:00,Toledo,Troy,ESPN+
11/3/2025,19:00,Northern Illinois,Southern Miss,ESPN+
11/3/2025,19:00,Bowling Green,Louisiana,ESPN+
11/3/2025,19:30,Bridgewater State,Stonehill,NEC Front Row
11/3/2025,19:30,Southern U,Iowa,B1G+
11/3/2025,19:30,New Orleans,Oklahoma State,ESPN+
11/3/2025,19:30,Omaha,Kansas State,ESPN+
11/3/2025,19:30,Davidson,Mississippi State,SECN+
11/3/2025,19:30,Central Arkansas,Missouri,SECN+
