Date,Time,Away Team,Home Team,Channel
11/16/2025,1:00 PM,Ohio State,UConn,Peacock
11/16/2025,1:00 PM,Georgetown-KY,Cincinnati,ESPN+
11/16/2025,1:00 PM,Cornell,Canisius,ESPN+
11/16/2025,2:00 PM,Princeton,Maryland,B1G+
11/16/2025,2:00 PM,TCU,NC State,ESPN
11/16/2025,2:00 PM,Scranton,Pittsburgh,ACCNX
11/16/2025,2:00 PM,North Dakota,Eastern Kentucky,ESPN+
11/16/2025,2:00 PM,Old Dominion,William & Mary,FloHoops
11/16/2025,2:00 PM,Iona,Davidson,ESPN+
11/16/2025,2:00 PM,New England College,New Hampshire,ESPN+
11/16/2025,2:00 PM,Belmont,Dayton,ESPN+
11/16/2025,2:00 PM,North Dakota State,Nebraska,BTN
11/16/2025,2:00 PM,Florida,Navy,ESPN+
11/16/2025,2:00 PM,Holy Cross,Marist,ESPN+
11/16/2025,3:00 PM,Duke,Liberty,ESPN+
11/16/2025,3:00 PM,Norfolk State,Iowa State,ESPN+
11/16/2025,3:00 PM,Western Michigan,Michigan State,B1G+
11/16/2025,3:00 PM,Indiana State,Austin Peay,ESPN+
11/16/2025,3:00 PM,Evansville,Wright State,ESPN+
11/16/2025,3:00 PM,Wofford,App State,ESPN+
11/16/2025,3:00 PM,Hampton,Gardner-Webb,ESPN+
11/16/2025,3:00 PM,Dartmouth,Siena,ESPN+
11/16/2025,3:00 PM,Villanova,James Madison,ESPN+
11/16/2025,3:00 PM,Penn State,Saint Joseph's,ESPN+
11/16/2025,3:00 PM,Maryland Eastern Shore,Loyola Chicago,ESPN+
11/16/2025,3:00 PM,Fordham,Buffalo,ESPN+
11/16/2025,3:00 PM,Miami (OH),Bellarmine,ESPN+
11/16/2025,3:00 PM,East Carolina,High Point,ESPN+
11/16/2025,3:00 PM,NJIT,St. Thomas-Minnesota,Midco Sports Plus
11/16/2025,3:00 PM,Radford,Virginia,ACCNX
11/16/2025,3:00 PM,Wagner,Syracuse,ACCNX
11/16/2025,3:00 PM,Bucknell,Youngstown State,ESPN+
11/16/2025,3:00 PM,Loyola Maryland,Drexel,FloHoops
