Boston College,Boston College
Boston U.,Boston University
Bowdoin,Bowdoin College
Bowie St.,Bowie State University
Bowling Green,Bowling Green State University
Bradley,Bradley University
Brandeis,Brandeis University
Brevard,Brevard College
Bridgeport,University of Bridgeport
Bridgewater St.,Bridgewater State University
Bridgewater (VA),Bridgewater College
Brooklyn,Brooklyn College
Brown,Brown University
Bryant,Bryant University
Bryn Athyn,Bryn Athyn College
Bryn Mawr,Bryn Mawr College
Bucknell,Bucknell University
Buena Vista,Buena Vista University
Buffalo,University at Buffalo
Buffalo St.,Buffalo State College
Butler,Butler University
BYU,Brigham Young University
BYU-Hawaii,BYU-Hawaii
Cabrini,Cabrini University
Cairn,Cairn University
Cal Lutheran,California Lutheran University
Cal Poly,Cal Poly
Cal Poly Pomona,Cal Poly-Pomona
Cal St. Dom. Hills,Cal State-Dominguez Hills
Cal St. East Bay,Cal State-East Bay
Cal St. Fullerton,Cal State-Fullerton
Cal State LA,Cal State-Los Angeles
Cal St. Monterey Bay,Cal State-Monterey Bay
Cal St. Northridge,Cal State-Northridge
Cal St. San B'dino,Cal State-San Bernardino
Cal State-San Marcos,Cal State-San Marcos
Cal St. Stanislaus,Cal State-Stanislaus
Caldwell,Caldwell University
California,University of California
Cal Baptist,California Baptist University
California (PA),California University of Pennsylvania
Caltech,California Institute of Technology
Calvin,Calvin College
Cameron,Cameron University
Campbell,Campbell University
Canisius,Canisius College
Capital,Capital University
Carleton,Carleton College
Carnegie Mellon,Carnegie Mellon University
Carroll (WI),Carroll University
Carson-Newman,Carson-Newman College
Carthage,Carthage College
Case Western Reserve,Case Western Reserve University
Castleton,Castleton University
Catawba,Catawba College
Catholic,Catholic University
Cazenovia,Cazenovia College
CCNY,City College of New York
Cedar Crest,Cedar Crest College
Cedarville,Cedarville University
Centenary (LA),Centenary College of Louisiana
Centenary (NJ),Centenary University (N.J.)
Central Ark.,University of Central Arkansas
Central Conn. St.,Central Connecticut State University
Central (IA),Central College (Iowa)
Central Mich.,Central Michigan University
Central Mo.,University of Central Missouri
Central Okla.,University of Central Oklahoma
Central St. (OH),Central State University
Central Wash.,Central Washington University
Centre,Centre College
Chadron St.,Chadron State College
Chaminade,Chaminade University
Chapman,Chapman University
Charleston So.,Charleston Southern University
Charleston (WV),University of Charleston
Charlotte,UNC Charlotte
Chatham,Chatham University
Tenn-Chattanooga,University of Tennessee at Chattanooga
Chestnut Hill,Chestnut Hill College
Cheyney,Cheyney University of Pennsylvania
Chicago,University of Chicago
Chicago St.,Chicago State University
Chico State,California State University, Chico
Chowan,Chowan University
Chris. Newport,Christopher Newport University
Christian Bros.,Christian Brothers University
Cincinnati,University of Cincinnati
Citadel,The Citadel
New-York-City-Tech,NYC College of Technology
Claflin,Claflin University
Claremont-M-S,Claremont-Mudd-Scripps Colleges
