Lewis,Lewis University
Lewis & Clark,Lewis & Clark College
Liberty,Liberty University
Limestone,Limestone College
Lincoln Christian,Lincoln Christian College & Seminary
Lincoln Memorial,Lincoln Memorial University
Lincoln (MO),Lincoln University (Mo.)
Lincoln (PA),The Lincoln University (Pa.)
Lindenwood,Lindenwood University
Linfield,Linfield College
Lipscomb,Lipscomb University
LIU Post,LIU Post
Livingstone,Livingstone College
Lock Haven,Lock Haven University
Long Beach St.,Long Beach State University
Long Island,Long Island University
Longwood,Longwood University
Loras,Loras College
Louisiana Col.,Louisiana College
Louisiana Tech,Louisiana Tech University
Louisville,University of Louisville
Loyola (IL),Loyola University Chicago
Loyola Maryland,Loyola University Maryland
Loyola Marymount,Loyola Marymount University
LSU,Louisiana State University
Lubbock Christian,Lubbock Christian University
Luther,Luther College
Lycoming,Lycoming College
Lynchburg,University of Lynchburg
Lyndon St.,Lyndon State College
Lynn,Lynn University
Lyon College,Lyon College
Macalester,Macalester College
MacMurray,MacMurray College
Maine,University of Maine
Maine Maritime,Maine Maritime Academy
Malone,Malone University
Manchester,Manchester University
Manhattan,Manhattan College
Manhattanville,Manhattanville College
Mansfield,Mansfield Univ. of Pennsylvania
Maranatha Baptist,Maranatha Baptist University
Marian (WI),Marian University
Marietta,Marietta College
Marist,Marist College
Marquette,Marquette University
Mars Hill,Mars Hill University
Marshall,Marshall University
Martin Luther,Martin Luther College
Mary,University of Mary
Mary Baldwin,Mary Baldwin University
Mary Hardin-Baylor,University of Mary Hardin-Baylor
Mary Washington,University of Mary Washington
Maryland,University of Maryland-College Park
Marymount (VA),Marymount University
Maryville (MO),Maryville University of Saint Louis
Maryville (TN),Maryville College
Marywood,Marywood University
Mass. Maritime,Massachusetts Maritime Academy
Mass-Amherst,University of Massachusetts
McDaniel,McDaniel College
McKendree,McKendree University
Mass-Liberal-Arts,Massachusetts College of Liberal Arts
McMurry,McMurry University
McNeese St.,McNeese State University
Md.-East. Shore,University of Maryland, Eastern Shore
Me.-Farmington,University of Maine, Farmington
Me.-Presque Isle,University of Maine at Presque Isle
Medaille,Medaille College
Medgar Evers,Medgar Evers College
